ID,Pref ID,User ID,Service ID,Can Do,Reason,Updated At
3186e576-4658-46f5-b387-2f01f6e3e5ba,4,USER-039,cffbb16e-a83f-408a-9fee-abef563d74e4,false,,2026-05-09T12:20:07.954Z
97fc956c-14de-499b-a117-3dacae1bd859,5,USER-039,720e59e0-86e3-4aa3-9528-b76beedd4de7,false,,2026-05-09T12:20:08.033Z
d0516a9c-fea9-4528-ba69-ac14313ee776,6,USER-039,3763e584-a6b2-472b-8eda-ec7fab61c41a,false,,2026-05-09T12:20:08.094Z
9a9c687a-1e2c-4d0c-8966-5c9fa635ba49,7,USER-039,a3c06f1f-9df7-41d1-a8b7-fd35c0b4b3d7,false,,2026-05-09T12:20:08.162Z
6eff7ebd-4b50-407f-afab-9fe5da7389d7,8,USER-039,c1c46d5d-1437-437d-830f-fd843bda5a03,false,,2026-05-09T12:20:08.224Z
058c611b-bdbe-4c9c-993a-0e815e7956b8,9,USER-039,201eafdf-ccbe-46c2-b5ca-b10ab7caff06,false,,2026-05-09T12:20:08.296Z
3eee2fe9-5a89-4ec8-9020-1fc8f09786a3,10,USER-010,da4090d0-97c9-4e11-8796-4d0f70f5a7a4,false,,2026-05-16T17:45:55.763Z
8f365b37-450d-4355-ba1a-8d5e32543ffd,11,USER-010,09609d72-df77-4f9e-900f-67a0118bb623,false,,2026-05-16T17:45:55.855Z
fbaec245-81a6-487a-a202-bf61aca1d195,12,USER-010,201eafdf-ccbe-46c2-b5ca-b10ab7caff06,false,,2026-05-16T17:45:55.952Z
1f51c454-393f-4d49-bffd-e94f894f4a44,13,USER-010,259b1a92-aa4e-4277-954e-a20ca65eb758,false,,2026-05-16T17:45:56.019Z
65b4470c-60c8-4470-9e44-daee5907d0eb,14,USER-010,e27eb510-bf5e-4093-a3ee-6ca1ea552a62,false,,2026-05-16T17:45:56.125Z
8a0708dd-0beb-4de7-b595-f5bea3d57670,15,USER-010,56ce83b8-8980-407a-9a4d-52e81f94463c,false,,2026-05-16T17:45:56.206Z
7499cd96-232a-4f2a-a1d9-297a97523f6d,16,USER-010,6bf65132-6dff-42f5-8a34-c3bba9d7b7c4,false,,2026-05-16T17:45:56.287Z
9573ea53-3f0b-4d7c-ad75-4a247f0d96ad,17,USER-010,5a3ba1ef-6680-4e67-a838-20cadc166a32,false,,2026-05-16T17:45:56.530Z
e456557e-1b2e-4830-9b0a-56299fa182c4,18,USER-010,abad265b-0ada-44d7-86a5-b2ca54d9fcee,false,,2026-05-16T17:45:56.590Z
9bd18afc-e9ac-4b4e-974d-a7b498531431,19,USER-010,c1c46d5d-1437-437d-830f-fd843bda5a03,false,,2026-05-16T17:45:56.650Z
bdc12cdb-df0c-4ebe-84f6-2ad0a26bc628,20,USER-010,a3c06f1f-9df7-41d1-a8b7-fd35c0b4b3d7,false,,2026-05-16T17:45:56.713Z
08200e3a-627f-420c-b2a7-a75ef6a6b2c5,21,USER-010,3763e584-a6b2-472b-8eda-ec7fab61c41a,false,,2026-05-16T17:45:56.778Z
754241f4-47d1-4922-939b-e53b5a191360,22,USER-010,720e59e0-86e3-4aa3-9528-b76beedd4de7,false,,2026-05-16T17:45:56.843Z
5d9904a6-54e2-43f7-9661-256458f22b3d,23,USER-010,0941074a-4026-4f33-8d70-37cb18c42c82,false,,2026-05-16T17:45:56.910Z
38806ecf-42d4-4250-a967-8d53f93ffdf9,24,USER-010,cffbb16e-a83f-408a-9fee-abef563d74e4,false,,2026-05-16T17:45:56.988Z
f309ced1-b865-463e-bb93-6049e0b07f72,25,USER-105,201eafdf-ccbe-46c2-b5ca-b10ab7caff06,false,,2026-06-18T04:57:11.216Z
bc82f2ae-841b-4e8b-9332-91619367a15c,26,USER-105,e27eb510-bf5e-4093-a3ee-6ca1ea552a62,false,,2026-06-18T04:57:11.286Z
cec1e88c-0911-4f78-aa31-fe1a8222cd0c,27,USER-105,56ce83b8-8980-407a-9a4d-52e81f94463c,false,,2026-06-18T04:57:11.355Z
9abe4e3f-9cd8-4b71-85e7-d6d45f376aa0,28,USER-105,6bf65132-6dff-42f5-8a34-c3bba9d7b7c4,false,,2026-06-18T04:57:11.413Z
c2957f7c-b162-467d-990e-8f495fd6d4b9,29,USER-105,720e59e0-86e3-4aa3-9528-b76beedd4de7,false,,2026-06-18T04:57:11.485Z
c9ef4de4-565c-46be-9833-5404aa5f9834,30,USER-105,0941074a-4026-4f33-8d70-37cb18c42c82,false,,2026-06-18T04:57:11.601Z
a4775852-f2ce-4849-b465-20822aa8f716,31,USER-105,cffbb16e-a83f-408a-9fee-abef563d74e4,false,,2026-06-18T04:57:11.667Z